"","NAME","TEAM_abb","GP","MPG","ORPM","DRPM","WINS","POSITION","RPM","TEAM_full","SALARY","MSP","y","GP_c","MPG_c"
"1","LeBron James","CLE",74,37.8,6.49,1.93,20.43," SF",8.42,"Cleveland Cavaliers",30963450,"True",1,15.8305555555556,16.2755555555556
"2","Stephen Curry","GS",79,33.4,7.27,0.14,18.8," PG",7.41,"Golden State Warriors",12112359,"True",1,20.8305555555556,11.8755555555556
"3","Jimmy Butler","CHI",76,37,4.82,1.8,17.35," SG",6.62,"Chicago Bulls",17552209,"True",1,17.8305555555556,15.4755555555556
"4","Russell Westbrook","OKC",81,34.6,6.74,-0.47,17.34," PG",6.27,"Oklahoma City Thunder",26500000,"True",1,22.8305555555556,13.0755555555556
"5","Draymond Green","GS",76,32.5,1.55,5.59,16.84," PF",7.14,"Golden State Warriors",15330435,"True",1,17.8305555555556,10.9755555555556
"6","Rudy Gobert","UTAH",81,33.9,0.35,6.02,15.55," C",6.37,"Utah Jazz",2121288,"True",1,22.8305555555556,12.3755555555556
"7","James Harden","HOU",81,36.4,6.38,-1.57,15.54," SG",4.81,"Houston Rockets",26500000,"True",1,22.8305555555556,14.8755555555556
"8","Kawhi Leonard","SA",74,33.4,5.83,1.25,15.53," SF",7.08,"San Antonio Spurs",17638063,"True",1,15.8305555555556,11.8755555555556
"9","Chris Paul","LAC",61,31.5,5.16,2.76,13.48," PG",7.92,"LA Clippers",22868827,"True",1,2.83055555555556,9.97555555555556
"10","Nikola Jokic","DEN",73,27.9,4.44,2.29,13.18," C",6.73,"Denver Nuggets",1358500,"True",1,14.8305555555556,6.37555555555555
"11","Giannis Antetokounmpo","MIL",80,35.6,2.35,1.86,13," SF",4.21,"Milwaukee Bucks",2995421,"True",1,21.8305555555556,14.0755555555556
"12","Anthony Davis","NO",75,36.1,0.45,3.9,12.81," PF",4.35,"New Orleans Pelicans",22116750,"True",1,16.8305555555556,14.5755555555556
"13","Kevin Durant","GS",62,33.4,4.41,1.33,12.24," SF",5.74,"Golden State Warriors",26500000,"True",1,3.83055555555556,11.8755555555556
"14","Paul Millsap","ATL",69,34,1.23,3.35,11.51," PF",4.58,"Atlanta Hawks",20072033,"True",1,10.8305555555556,12.4755555555556
"15","DeMarcus Cousins","NO/SAC",72,34.2,3.56,0.64,11.26," C",4.2,"Sacramento Kings",16957900,"True",1,13.8305555555556,12.6755555555556
